2019-09-03 17:09:31,846 -  case - INFO - 测试开始啦 - [logger.py:31 ]
2019-09-03 17:54:24,407 -  test_register - ERROR - [0;31m报错了:'{"status":1,"code":"10001","data":null,"msg":"注册成功"}' != '{"status":0,"code":"20109","data":null,"msg":"手机号码格式不正确"}'
- {"status":1,"code":"10001","data":null,"msg":"注册成功"}
?           ^           ^^^                     ^^^^
+ {"status":0,"code":"20109","data":null,"msg":"手机号码格式不正确"}
?           ^         ++  ^                     ^^^^^^^^^
[0m - [test_register.py:49 ]
2019-09-03 17:54:24,411 -  test_register - DEBUG - 开始测试:密码为空，注册失败 - [test_register.py:29 ]
2019-09-03 17:54:24,411 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-03 17:54:24,411 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/register - [http_request.py:57 ]
2019-09-03 17:54:24,411 -  common.http_request - DEBUG - 请求data:{'pwd': '', 'mobilephone': '15810447879'} - [http_request.py:58 ]
2019-09-03 17:54:24,546 -  test_register - DEBUG - 结束测试:密码为空，注册失败 - [test_register.py:52 ]
2019-09-03 17:54:24,546 -  test_register - DEBUG - 开始测试:手机号码为空，注册失败 - [test_register.py:29 ]
2019-09-03 17:54:24,547 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-03 17:54:24,548 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/register - [http_request.py:57 ]
2019-09-03 17:54:24,548 -  common.http_request - DEBUG - 请求data:{'pwd': '123458', 'mobilephone': ''} - [http_request.py:58 ]
2019-09-03 17:54:24,770 -  test_register - DEBUG - 结束测试:手机号码为空，注册失败 - [test_register.py:52 ]
2019-09-03 17:54:24,770 -  test_register - DEBUG - 开始测试:重复注册 - [test_register.py:29 ]
2019-09-03 17:54:24,772 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-03 17:54:24,772 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/register - [http_request.py:57 ]
2019-09-03 17:54:24,772 -  common.http_request - DEBUG - 请求data:{'pwd': '123459', 'mobilephone': '15810447878'} - [http_request.py:58 ]
2019-09-03 17:54:24,908 -  test_register - DEBUG - 结束测试:重复注册 - [test_register.py:52 ]
2019-09-03 17:54:24,908 -  test_register - DEBUG - 测试后置处理 - [test_register.py:56 ]
2019-09-04 14:16:10,151 -  testcases.test_invest - DEBUG - 准备测试前置 - [test_invest.py:25 ]
2019-09-04 14:16:10,362 -  testcases.test_invest - DEBUG - 开始测试:管理员正常登录 - [test_invest.py:31 ]
2019-09-04 14:16:10,367 -  common.http_request - DEBUG - 请求的方法:GET - [http_request.py:56 ]
2019-09-04 14:16:10,367 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/login - [http_request.py:57 ]
2019-09-04 14:16:10,367 -  common.http_request - DEBUG - 请求data:{'pwd': '123456', 'mobilephone': '15814447890'} - [http_request.py:58 ]
2019-09-04 14:16:10,616 -  testcases.test_invest - DEBUG - 结束测试:管理员正常登录 - [test_invest.py:64 ]
2019-09-04 14:16:10,617 -  testcases.test_invest - DEBUG - 开始测试:管理员加标 - [test_invest.py:31 ]
2019-09-04 14:16:10,736 -  common.http_request - DEBUG - 请求的方法:GET - [http_request.py:56 ]
2019-09-04 14:16:10,737 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/loan/add - [http_request.py:57 ]
2019-09-04 14:16:10,737 -  common.http_request - DEBUG - 请求data:{'memberId': '1197', 'title': '世界这么大，想去看一看', 'loanDateType': 0, 'loanRate': '12.0', 'biddingDays': 5, 'amount': 20000, 'loanTerm': 3, 'repaymemtWay': 11} - [http_request.py:58 ]
2019-09-04 14:16:11,121 -  testcases.test_invest - DEBUG - 结束测试:管理员加标 - [test_invest.py:64 ]
2019-09-04 14:16:11,121 -  testcases.test_invest - DEBUG - 开始测试:管理员审核 - [test_invest.py:31 ]
2019-09-04 14:16:11,123 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-04 14:16:11,124 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/loan/audit - [http_request.py:57 ]
2019-09-04 14:16:11,124 -  common.http_request - DEBUG - 请求data:{'id': '69379', 'status': 4} - [http_request.py:58 ]
2019-09-04 14:16:11,294 -  testcases.test_invest - DEBUG - 结束测试:管理员审核 - [test_invest.py:64 ]
2019-09-04 14:16:11,294 -  testcases.test_invest - DEBUG - 开始测试:投资人正常登录 - [test_invest.py:31 ]
2019-09-04 14:16:11,298 -  common.http_request - DEBUG - 请求的方法:GET - [http_request.py:56 ]
2019-09-04 14:16:11,298 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/login - [http_request.py:57 ]
2019-09-04 14:16:11,298 -  common.http_request - DEBUG - 请求data:{'pwd': '123456', 'mobilephone': '15810447878'} - [http_request.py:58 ]
2019-09-04 14:16:11,499 -  testcases.test_invest - DEBUG - 结束测试:投资人正常登录 - [test_invest.py:64 ]
2019-09-04 14:16:11,500 -  testcases.test_invest - DEBUG - 开始测试:投资人正常投资 - [test_invest.py:31 ]
2019-09-04 14:16:11,505 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-04 14:16:11,505 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/bidLoan - [http_request.py:57 ]
2019-09-04 14:16:11,506 -  common.http_request - DEBUG - 请求data:{'memberId': '88538', 'amount': '100', 'loanId': '69379', 'password': '123456'} - [http_request.py:58 ]
2019-09-04 14:16:11,698 -  testcases.test_invest - DEBUG - 结束测试:投资人正常投资 - [test_invest.py:64 ]
2019-09-04 14:16:11,699 -  testcases.test_invest - DEBUG - 开始测试:投资人投资不输入金额 - [test_invest.py:31 ]
2019-09-04 14:16:11,703 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-04 14:16:11,703 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/bidLoan - [http_request.py:57 ]
2019-09-04 14:16:11,704 -  common.http_request - DEBUG - 请求data:{'memberId': '88538', 'amount': '', 'loanId': '69379', 'password': '123456'} - [http_request.py:58 ]
2019-09-04 14:16:11,868 -  testcases.test_invest - DEBUG - 结束测试:投资人投资不输入金额 - [test_invest.py:64 ]
2019-09-04 14:16:11,869 -  testcases.test_invest - DEBUG - 开始测试:投资人投资输入负数 - [test_invest.py:31 ]
2019-09-04 14:16:11,873 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-04 14:16:11,874 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/bidLoan - [http_request.py:57 ]
2019-09-04 14:16:11,874 -  common.http_request - DEBUG - 请求data:{'memberId': '88538', 'amount': '-100', 'loanId': '69379', 'password': '123456'} - [http_request.py:58 ]
2019-09-04 14:16:12,041 -  testcases.test_invest - DEBUG - 结束测试:投资人投资输入负数 - [test_invest.py:64 ]
2019-09-04 14:16:12,042 -  testcases.test_invest - DEBUG - 测试后置处理 - [test_invest.py:68 ]
2019-09-04 14:16:12,042 -  testcases.test_login - DEBUG - 准备测试前置 - [test_login.py:22 ]
2019-09-04 14:16:12,043 -  testcases.test_login - DEBUG - 开始测试:正常登录 - [test_login.py:28 ]
2019-09-04 14:16:12,044 -  common.http_request - DEBUG - 请求的方法:GET - [http_request.py:56 ]
2019-09-04 14:16:12,045 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/login - [http_request.py:57 ]
2019-09-04 14:16:12,045 -  common.http_request - DEBUG - 请求data:{'pwd': '123456', 'mobilephone': '15810447878'} - [http_request.py:58 ]
2019-09-04 14:16:12,271 -  testcases.test_login - DEBUG - 结束测试:正常登录 - [test_login.py:41 ]
2019-09-04 14:16:12,271 -  testcases.test_login - DEBUG - 开始测试:输入错误的密码 - [test_login.py:28 ]
2019-09-04 14:16:12,273 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-04 14:16:12,273 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/login - [http_request.py:57 ]
2019-09-04 14:16:12,273 -  common.http_request - DEBUG - 请求data:{'pwd': '098786', 'mobilephone': '15810447878'} - [http_request.py:58 ]
2019-09-04 14:16:12,456 -  testcases.test_login - DEBUG - 结束测试:输入错误的密码 - [test_login.py:41 ]
2019-09-04 14:16:12,456 -  testcases.test_login - DEBUG - 开始测试:不输入密码 - [test_login.py:28 ]
2019-09-04 14:16:12,458 -  common.http_request - DEBUG - 请求的方法:GET - [http_request.py:56 ]
2019-09-04 14:16:12,458 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/login - [http_request.py:57 ]
2019-09-04 14:16:12,458 -  common.http_request - DEBUG - 请求data:{'pwd': '', 'mobilephone': '15810447878'} - [http_request.py:58 ]
2019-09-04 14:16:12,621 -  testcases.test_login - DEBUG - 结束测试:不输入密码 - [test_login.py:41 ]
2019-09-04 14:16:12,621 -  testcases.test_login - DEBUG - 开始测试:不输入手机号码 - [test_login.py:28 ]
2019-09-04 14:16:12,623 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-04 14:16:12,623 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/login - [http_request.py:57 ]
2019-09-04 14:16:12,623 -  common.http_request - DEBUG - 请求data:{'pwd': '123456', 'mobilephone': ''} - [http_request.py:58 ]
2019-09-04 14:16:12,784 -  testcases.test_login - DEBUG - 结束测试:不输入手机号码 - [test_login.py:41 ]
2019-09-04 14:16:12,785 -  testcases.test_login - DEBUG - 测试后置处理 - [test_login.py:46 ]
2019-09-04 14:16:12,786 -  testcases.test_register - DEBUG - 准备测试前置 - [test_register.py:24 ]
2019-09-04 14:16:12,787 -  testcases.test_register - DEBUG - 开始测试:注册成功 - [test_register.py:29 ]
2019-09-04 14:16:12,895 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-04 14:16:12,896 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/register - [http_request.py:57 ]
2019-09-04 14:16:12,896 -  common.http_request - DEBUG - 请求data:{'pwd': '123456', 'mobilephone': '19000000000'} - [http_request.py:58 ]
2019-09-04 14:16:13,106 -  testcases.test_register - ERROR - [0;31m报错了:'{"status":1,"code":"10001","data":null,"msg":"注册成功"}' != '{"status":0,"code":"20109","data":null,"msg":"手机号码格式不正确"}'
- {"status":1,"code":"10001","data":null,"msg":"注册成功"}
?           ^           ^^^                     ^^^^
+ {"status":0,"code":"20109","data":null,"msg":"手机号码格式不正确"}
?           ^         ++  ^                     ^^^^^^^^^
[0m - [test_register.py:49 ]
2019-09-04 14:16:13,110 -  testcases.test_register - DEBUG - 开始测试:密码为空，注册失败 - [test_register.py:29 ]
2019-09-04 14:16:13,112 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-04 14:16:13,112 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/register - [http_request.py:57 ]
2019-09-04 14:16:13,112 -  common.http_request - DEBUG - 请求data:{'pwd': '', 'mobilephone': '15810447879'} - [http_request.py:58 ]
2019-09-04 14:16:13,276 -  testcases.test_register - DEBUG - 结束测试:密码为空，注册失败 - [test_register.py:52 ]
2019-09-04 14:16:13,277 -  testcases.test_register - DEBUG - 开始测试:手机号码为空，注册失败 - [test_register.py:29 ]
2019-09-04 14:16:13,278 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-04 14:16:13,279 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/register - [http_request.py:57 ]
2019-09-04 14:16:13,279 -  common.http_request - DEBUG - 请求data:{'pwd': '123458', 'mobilephone': ''} - [http_request.py:58 ]
2019-09-04 14:16:13,446 -  testcases.test_register - DEBUG - 结束测试:手机号码为空，注册失败 - [test_register.py:52 ]
2019-09-04 14:16:13,447 -  testcases.test_register - DEBUG - 开始测试:重复注册 - [test_register.py:29 ]
2019-09-04 14:16:13,448 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-04 14:16:13,448 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/register - [http_request.py:57 ]
2019-09-04 14:16:13,449 -  common.http_request - DEBUG - 请求data:{'pwd': '123459', 'mobilephone': '15810447878'} - [http_request.py:58 ]
2019-09-04 14:16:13,627 -  testcases.test_register - DEBUG - 结束测试:重复注册 - [test_register.py:52 ]
2019-09-04 14:16:13,628 -  testcases.test_register - DEBUG - 测试后置处理 - [test_register.py:56 ]
2019-09-04 14:16:13,629 -  testcases.test_recharge - DEBUG - 准备测试前置 - [test_recharge.py:22 ]
2019-09-04 14:16:13,629 -  testcases.test_recharge - DEBUG - 开始测试:正常登陆 - [test_recharge.py:27 ]
2019-09-04 14:16:13,631 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-04 14:16:13,631 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/login - [http_request.py:57 ]
2019-09-04 14:16:13,631 -  common.http_request - DEBUG - 请求data:{'pwd': '123456', 'mobilephone': '15810447878'} - [http_request.py:58 ]
2019-09-04 14:16:13,853 -  testcases.test_recharge - DEBUG - 结束测试:正常登陆 - [test_recharge.py:40 ]
2019-09-04 14:16:13,854 -  testcases.test_recharge - DEBUG - 开始测试:正常充值 - [test_recharge.py:27 ]
2019-09-04 14:16:13,855 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-04 14:16:13,855 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/recharge - [http_request.py:57 ]
2019-09-04 14:16:13,856 -  common.http_request - DEBUG - 请求data:{'amount': '100', 'mobilephone': '15810447878'} - [http_request.py:58 ]
2019-09-04 14:16:14,101 -  testcases.test_recharge - DEBUG - 结束测试:正常充值 - [test_recharge.py:40 ]
2019-09-04 14:16:14,101 -  testcases.test_recharge - DEBUG - 开始测试:充值手机号码不存在 - [test_recharge.py:27 ]
2019-09-04 14:16:14,103 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-04 14:16:14,103 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/recharge - [http_request.py:57 ]
2019-09-04 14:16:14,103 -  common.http_request - DEBUG - 请求data:{'amount': '101', 'mobilephone': '12345677889'} - [http_request.py:58 ]
2019-09-04 14:16:14,260 -  testcases.test_recharge - DEBUG - 结束测试:充值手机号码不存在 - [test_recharge.py:40 ]
2019-09-04 14:16:14,261 -  testcases.test_recharge - DEBUG - 开始测试:充值金额小数点大于两位 - [test_recharge.py:27 ]
2019-09-04 14:16:14,262 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-04 14:16:14,262 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/recharge - [http_request.py:57 ]
2019-09-04 14:16:14,263 -  common.http_request - DEBUG - 请求data:{'amount': '102.223', 'mobilephone': '15810447878'} - [http_request.py:58 ]
2019-09-04 14:16:14,425 -  testcases.test_recharge - DEBUG - 结束测试:充值金额小数点大于两位 - [test_recharge.py:40 ]
2019-09-04 14:16:14,425 -  testcases.test_recharge - DEBUG - 开始测试:输入负数 - [test_recharge.py:27 ]
2019-09-04 14:16:14,427 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-04 14:16:14,427 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/recharge - [http_request.py:57 ]
2019-09-04 14:16:14,427 -  common.http_request - DEBUG - 请求data:{'amount': '-103', 'mobilephone': '15810447878'} - [http_request.py:58 ]
2019-09-04 14:16:14,583 -  testcases.test_recharge - DEBUG - 结束测试:输入负数 - [test_recharge.py:40 ]
2019-09-04 14:16:14,583 -  testcases.test_recharge - DEBUG - 测试后置处理 - [test_recharge.py:44 ]
2019-09-04 14:16:14,584 -  testcases.test_add - INFO - 准备测试前置 - [test_add.py:22 ]
2019-09-04 14:16:14,772 -  testcases.test_add - INFO - 开始测试:正常登录 - [test_add.py:28 ]
2019-09-04 14:16:14,776 -  common.http_request - DEBUG - 请求的方法:GET - [http_request.py:56 ]
2019-09-04 14:16:14,776 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/login - [http_request.py:57 ]
2019-09-04 14:16:14,776 -  common.http_request - DEBUG - 请求data:{'pwd': '123456', 'mobilephone': '15810447878'} - [http_request.py:58 ]
2019-09-04 14:16:15,000 -  testcases.test_add - INFO - 结束测试:正常登录 - [test_add.py:43 ]
2019-09-04 14:16:15,000 -  testcases.test_add - INFO - 开始测试:加标 - [test_add.py:28 ]
2019-09-04 14:16:15,003 -  common.http_request - DEBUG - 请求的方法:GET - [http_request.py:56 ]
2019-09-04 14:16:15,003 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/loan/add - [http_request.py:57 ]
2019-09-04 14:16:15,003 -  common.http_request - DEBUG - 请求data:{'memberId': '1197', 'title': '试试人品行不行，借个2W玩玩', 'loanDateType': 0, 'loanRate': '12.0', 'biddingDays': 5, 'amount': 20000, 'loanTerm': 3, 'repaymemtWay': 11} - [http_request.py:58 ]
2019-09-04 14:16:15,169 -  testcases.test_add - INFO - 结束测试:加标 - [test_add.py:43 ]
2019-09-04 14:16:15,170 -  testcases.test_add - INFO - 测试后置处理 - [test_add.py:47 ]
